fold,horizon,status,train_n,test_n,raw_auc,raw_msr,raw_x0,raw_x1,filtered_auc,filtered_msr,filtered_x0,filtered_x1,residual_auc,residual_msr,residual_x0,residual_x1,error
Auction_ZScore_CF_1,k=10,ok,15065,15974,0.48779611670397194,0.24998054882463025,0.012391940861776932,0.00011609624301902578,0.46111960848803596,0.24995509047933123,0.012273236478990718,0.00014229704889816232,0.4531323773204142,0.24998270395856062,0.012314278051521903,-3.894104089556992e-05,
Auction_ZScore_CF_1,k=20,ok,20671,21358,0.4810321575449352,0.24998203130573027,0.007721496538332142,0.00013843995362966714,0.46296976107974697,0.24997252759019623,0.007635190346017797,0.00012526584258256692,0.5101292427471853,0.2499574887253267,0.007655525490480968,1.2421012303631867e-05,
Auction_ZScore_CF_1,k=30,ok,24889,25478,0.4795716466317396,0.2499504832269444,0.011546433940449097,0.00011444420819617715,0.5263111943437786,0.24998619399694652,0.011731304711906193,-0.0009736330692147011,0.5084261820845014,0.24998741505452077,0.011729160056470253,0.0002647008928992321,
Auction_ZScore_CF_1,k=50,ok,30068,30572,0.4801249847672712,0.24991047765118124,0.015750896878392963,0.00020876842532464282,0.520460699859755,0.2498632643633019,0.015781004745119752,-0.00014056943444270225,0.49428947578134874,0.2498954055362689,0.015828739288847517,0.0001632477210379905,
Auction_ZScore_CF_1,k=100,ok,36147,36397,0.47503802910433984,0.24981797684137505,0.031615289854335336,0.00041203854571767546,0.5237415984372544,0.24974408698482697,0.031439929505373734,-0.00011661265862698115,0.49570184601468903,0.24981117320594978,0.0316257155825967,0.00022511651456792945,
Auction_ZScore_CF_2,k=10,ok,31039,10735,0.47948561605798934,0.2501288254551339,0.022135300657297505,7.65776258757208e-05,0.536037517301294,0.25022449891075216,0.022152488187841938,-0.0012606776900007514,0.513932931456811,0.25016890774691825,0.02217341115626017,0.00027762015391908555,
Auction_ZScore_CF_2,k=20,ok,42029,14780,0.5083305553456848,0.25025611961783834,0.026100263720007788,-0.00030205425263231704,0.4781233747489827,0.25019404266510226,0.026146287048708104,1.952495414684792e-05,0.508481460715615,0.2501943327905822,0.026145884360568163,-2.630800651613522e-05,
Auction_ZScore_CF_2,k=30,ok,50367,17796,0.5136693279030228,0.2503067421112012,0.03442819579607164,-8.076102280487308e-05,0.5190973869452657,0.2502655183942585,0.034323248306169264,-0.00036605641893713083,0.5014745016942761,0.25025906964951555,0.03437197682022784,8.668731889412899e-05,
Auction_ZScore_CF_2,k=50,ok,60640,21795,0.5211271763597456,0.2503603080573739,0.04532715158412201,-1.86977701793218e-05,0.5134396598552283,0.2503483663883858,0.045282574590746846,-3.272619897906893e-05,0.4899306902091859,0.25033725438409515,0.045288495027655626,2.5684378136104118e-05,
Auction_ZScore_CF_2,k=100,ok,72544,26361,0.4760992258703093,0.25045298152756845,0.057140037438038485,4.83807772660101e-06,0.48320444607074986,0.250469840949333,0.05719739246832362,6.270789848780966e-05,0.5030960581255115,0.2504723495921328,0.05718442303137272,-4.5476783245776515e-05,
Auction_ZScore_CF_3,k=10,ok,41774,14880,0.4776049945726265,0.2500976682567136,0.009134539603318908,0.0001366884085505,0.5358180423488503,0.2500738605553765,0.009118747632479138,-9.83109641737013e-05,0.5161261250116115,0.2500858437632505,0.009190160283161107,0.000115589889994827,
Auction_ZScore_CF_3,k=20,ok,56809,20285,0.5126575489297732,0.25006301517755464,0.0075051374679858136,-5.414735881101406e-05,0.4761191567150298,0.25010500094170346,0.00744005791579414,0.00011747737961732533,0.505680113707188,0.25008864680298265,0.007468781770574307,-7.211493006569173e-05,
Auction_ZScore_CF_3,k=30,ok,68163,24285,0.48164893201694975,0.2501201653268284,0.013226875174437791,1.9680904033241595e-05,0.4740210466566586,0.2501471480119674,0.01324600323085455,0.00012687239334808998,0.4969624659582313,0.2501224588604337,0.013233851169499157,-1.516076945056729e-05,
Auction_ZScore_CF_3,k=50,ok,82435,29285,0.4865754012567168,0.2501911917447774,0.022943350387782117,5.956220545808028e-05,0.4846878639898716,0.25020299097210363,0.022992295256995435,4.771617175193588e-05,0.5025265024883458,0.2501825985733123,0.022974221583630893,2.2406118594141633e-05,
Auction_ZScore_CF_3,k=100,ok,98905,34837,0.4857937926659272,0.25025175132165545,0.032496684253425605,0.00020146137076100323,0.4821243272957342,0.2502481390877366,0.03257856132033158,2.2080987528400354e-06,0.503649581047881,0.250230862889397,0.03254710296752112,0.0001116266711028272,
Auction_ZScore_CF_1,k=10,ok,15065,15974,0.5791276570270099,0.24444273718954812,0.024185081075787426,-0.47022284845215856,0.5095142580946375,0.2499777024589794,0.012021172837116326,0.019070874908762445,0.6823606261888382,0.2273226824517649,0.023690148563627,-2.4592752055943805,
Auction_ZScore_CF_1,k=20,ok,20671,21358,0.515908681129238,0.24994685718661425,0.00577713810449693,0.07112190732031909,0.5731477414698685,0.24713242436200417,3.6325524912724644e-05,0.3762391191084671,0.6125394057801017,0.23916630257767182,0.015553052263100067,-1.5889301940277374,
Auction_ZScore_CF_1,k=30,ok,24889,25478,0.515956582268029,0.249617014538141,0.013090728781439853,-0.06476904766615216,0.5218441256483298,0.24993497178027338,0.008881883798204523,0.13196029592498107,0.5819668622984231,0.2449106664647108,0.016048933928321928,-1.0555747867993062,
